Region,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Beijing,"36,102.60","35,445.10","33,106.00","29,883.00","27,041.20","24,779.10","22,926.00","21,134.60","19,024.70","17,188.80"
Tianjin,"14,083.70","14,055.50","13,362.90","12,450.60","11,477.20","10,879.50","10,640.60","9,945.40","9,043.00","8,112.50"
Hebei,"36,206.90","34,978.60","32,494.60","30,640.80","28,474.10","26,398.40","25,208.90","24,259.60","23,077.50","21,384.70"
Shanxi,"17,651.90","16,961.60","15,958.10","14,484.30","11,946.40","11,836.40","12,094.70","11,987.20","11,683.10","10,894.40"
Inner Mongolia,"17,359.80","17,212.50","16,140.80","14,898.10","13,789.30","12,949.00","12,158.20","11,392.40","10,470.10","9,458.10"
Liaoning,"25,115.00","24,855.30","23,510.50","21,693.00","20,392.50","20,210.30","20,025.70","19,208.80","17,848.60","16,354.90"
Jilin,"12,311.30","11,726.80","11,253.80","10,922.00","10,427.00","10,018.00","9,966.50","9,427.90","8,678.00","7,734.60"
Heilongjiang,"13,698.50","13,544.40","12,846.50","12,313.00","11,895.00","11,690.00","12,170.80","11,849.10","11,015.80","9,935.00"
Shanghai,"38,700.60","37,987.60","36,011.80","32,925.00","29,887.00","26,887.00","25,269.80","23,204.10","21,305.60","20,009.70"
Jiangsu,"102,719.00","98,656.80","93,207.60","85,869.80","77,350.90","71,255.90","64,830.50","59,349.40","53,701.90","48,839.20"
Zhejiang,"64,613.30","62,462.00","58,002.80","52,403.10","47,254.00","43,507.70","40,023.50","37,334.60","34,382.40","31,854.80"
Anhui,"38,680.60","36,845.50","34,010.90","29,676.20","26,307.70","23,831.20","22,519.70","20,584.00","18,341.70","16,284.90"
Fujian,"43,903.90","42,326.60","38,687.80","33,842.40","29,609.40","26,819.50","24,942.10","22,503.80","20,190.70","17,917.70"
Jiangxi,"25,691.50","24,667.30","22,716.50","20,210.80","18,388.60","16,780.90","15,667.80","14,300.20","12,807.70","11,584.50"
Shandong,"73,129.00","70,540.50","66,648.90","63,012.10","58,762.50","55,288.80","50,774.80","47,344.30","42,957.30","39,064.90"
Henan,"54,997.10","53,717.80","49,935.90","44,824.90","40,249.30","37,084.10","34,574.80","31,632.50","28,961.90","26,318.70"
Hubei,"43,443.50","45,429.00","42,022.00","37,235.00","33,353.00","30,344.00","28,242.10","25,378.00","22,590.90","19,942.50"
Hunan,"41,781.50","39,894.10","36,329.70","33,828.10","30,853.50","28,538.60","25,881.30","23,545.20","21,207.20","18,915.00"
Guangdong,"110,760.90","107,986.90","99,945.20","91,648.70","82,163.20","74,732.40","68,173.00","62,503.40","57,007.70","53,072.80"
Guangxi,"22,156.70","21,237.10","19,627.80","17,790.70","16,116.60","14,797.80","13,587.80","12,448.40","11,303.60","10,299.90"
Hainan,"5,532.40","5,330.80","4,910.70","4,497.50","4,090.20","3,734.20","3,449.00","3,115.90","2,789.40","2,463.80"
Chongqing,"25,002.80","23,605.80","21,588.80","20,066.30","18,023.00","16,040.50","14,623.80","13,027.60","11,595.40","10,161.20"
Sichuan,"48,598.80","46,363.80","42,902.10","37,905.10","33,138.50","30,342.00","28,891.30","26,518.00","23,922.40","21,050.90"
Guizhou,"17,826.60","16,769.30","15,353.20","13,605.40","11,792.40","10,541.00","9,173.10","7,973.10","6,742.20","5,615.60"
Yunnan,"24,521.90","23,223.80","20,880.60","18,486.00","16,369.00","14,960.00","14,041.70","12,825.50","11,097.40","9,523.10"
Tibet,"1,902.70","1,697.80","1,548.40","1,349.00","1,173.00","1,043.00",939.7,828.2,710.2,611.5
Shaanxi,"26,181.90","25,793.20","23,941.90","21,473.50","19,045.80","17,898.80","17,402.50","15,905.40","14,142.40","12,175.10"
Gansu,"9,016.70","8,718.30","8,104.10","7,336.70","6,907.90","6,556.60","6,518.40","6,014.50","5,393.10","4,816.90"
Qinghai,"3,005.90","2,941.10","2,748.00","2,465.10","2,258.20","2,011.00","1,847.70","1,713.30","1,528.50","1,370.40"
Ningxia,"3,920.50","3,748.50","3,510.20","3,200.30","2,781.40","2,579.40","2,473.90","2,327.70","2,131.00","1,931.80"
Xinjiang,"13,797.60","13,597.10","12,809.40","11,159.90","9,630.80","9,306.90","9,264.50","8,392.60","7,411.80","6,532.00"
